Week,Day,Date,Year,ignore,Winner,WinnerAwayTeam,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL
WildCard,Sat,January 7,2012,boxscore,New Orleans Saints,,Detroit Lions,45,28,626,2,412,2
WildCard,Sat,January 7,2012,boxscore,Houston Texans,,Cincinnati Bengals,31,10,340,0,300,3
WildCard,Sun,January 8,2012,boxscore,Denver Broncos,,Pittsburgh Steelers,29,23,447,1,400,1
WildCard,Sun,January 8,2012,boxscore,New York Giants,,Atlanta Falcons,24,2,442,0,247,0
Division,Sat,January 14,2012,boxscore,San Francisco 49ers,,New Orleans Saints,36,32,407,1,472,5
Division,Sat,January 14,2012,boxscore,New England Patriots,,Denver Broncos,45,10,509,2,252,1
Division,Sun,January 15,2012,boxscore,New York Giants,@,Green Bay Packers,37,20,420,1,388,4
Division,Sun,January 15,2012,boxscore,Baltimore Ravens,,Houston Texans,20,13,227,0,315,4
ConfChamp,Sun,January 22,2012,boxscore,New England Patriots,,Baltimore Ravens,23,20,330,3,398,1
ConfChamp,Sun,January 22,2012,boxscore,New York Giants,@,San Francisco 49ers,20,17,352,0,328,2
SuperBowl,Sun,February 5,2012,boxscore,New York Giants,,New England Patriots,21,17,396,0,349,1

