Team W L OW OL EW P WW WL WEW WP WOOW WOOL WOEW WOP WXEW WXP REW RP RWEW RWP RWOEW RWOP RWXEW RWXP
DEN 13 3 53 59 8.428571428571429 4.571428571428571 14.88888888888889 1.1111111111111112 8.428571428571429 6.4603174603174605 53 59 8.428571428571429 4.571428571428571 8.428571428571429 6.4603174603174605 23 1 26 1 24 1 24 1
NE 12 4 60 52 7.428571428571429 4.571428571428571 12.88888888888889 3.1111111111111107 7.428571428571429 5.4603174603174605 57.75 54.25 7.75 4.25 7.75 5.138888888888889 7 2 7 2 14 2 14 2
SF 11.5 4.5 60 52 7.428571428571429 4.071428571428571 11.222222222222221 4.777777777777778 7.428571428571429 3.7936507936507926 57.25 54.75 7.821428571428571 3.678571428571429 7.821428571428571 3.4007936507936503 9 3 9 6 18 3 16 6
GB 11 5 62 50 7.142857142857143 3.8571428571428568 12 4 7.142857142857143 4.857142857142857 58.5 53.5 7.642857142857143 3.3571428571428568 7.642857142857143 4.357142857142857 5 4 5 3 11 5 11 3
ATL 13 3 46 66 9.428571428571429 3.571428571428571 11.555555555555555 4.444444444444445 9.428571428571429 2.1269841269841265 45 67 9.571428571428571 3.428571428571429 9.571428571428571 1.9841269841269842 30 5 30 9 31 4 31 9
HOU 12 4 53 59 8.428571428571429 3.571428571428571 10.222222222222221 5.777777777777779 8.428571428571429 1.7936507936507926 50.75 61.25 8.75 3.25 8.75 1.4722222222222214 24 6 25 10 28 6 28 11
SEA 11 5 58 54 7.714285714285714 3.2857142857142856 12 4 7.714285714285714 4.285714285714286 57.25 54.75 7.821428571428571 3.178571428571429 7.821428571428571 4.178571428571429 16 7 16 4 16 7 17 5
MIN 10 6 62 50 7.142857142857143 2.8571428571428568 10.666666666666668 5.333333333333334 7.142857142857143 3.5238095238095246 60.75 51.25 7.321428571428571 2.678571428571429 7.321428571428571 3.3452380952380967 3 8 3 7 5 8 5 7
CHI 10 6 59 53 7.571428571428571 2.428571428571429 8.88888888888889 7.111111111111111 7.571428571428571 1.317460317460318 60 52 7.428571428571429 2.571428571428571 7.428571428571429 1.4603174603174605 10 9 12 12 6 9 6 12
WAS 10 6 58 54 7.714285714285714 2.2857142857142856 12 4 7.714285714285714 4.285714285714286 57.5 54.5 7.785714285714286 2.2142857142857144 7.785714285714286 4.214285714285714 14 10 15 5 15 10 15 4
BAL 10 6 54 58 8.285714285714286 1.7142857142857135 8.88888888888889 7.111111111111111 8.285714285714286 0.6031746031746028 55.25 56.75 8.107142857142858 1.8928571428571423 8.107142857142858 0.7817460317460316 21 11 21 14 21 11 21 15
IND 11 5 44 68 9.714285714285714 1.2857142857142865 12.222222222222221 3.7777777777777777 9.714285714285714 2.507936507936508 42 70 10 1 10 2.2222222222222214 32 12 32 8 32 13 32 8
NYG 9 7 56.5 55.5 7.928571428571429 1.0714285714285712 8.444444444444445 7.555555555555555 7.928571428571429 0.5158730158730158 58.5 53.5 7.642857142857143 1.3571428571428568 7.642857142857143 0.8015873015873014 19 13 19 15 10 12 10 14
CIN 10 6 45 67 9.571428571428571 0.4285714285714288 11.333333333333334 4.666666666666666 9.571428571428571 1.7619047619047628 45.25 66.75 9.535714285714286 0.4642857142857135 9.535714285714286 1.7976190476190474 31 14 31 11 30 15 30 10
DAL 8 8 59 53 7.571428571428571 0.4285714285714288 8 8 7.571428571428571 0.4285714285714288 59.5 52.5 7.5 0.5 7.5 0.5 11 15 10 16 9 14 9 16
PIT 8 8 56 56 8 0 7.555555555555555 8.444444444444445 8 -0.44444444444444464 58 54 7.714285714285714 0.2857142857142856 7.714285714285714 -0.15873015873015905 20 16 20 19 13 17 13 18
STL 7.5 8.5 59 53 7.571428571428571 -0.07142857142857117 7.333333333333334 8.666666666666666 7.571428571428571 -0.23809523809523725 57.25 54.75 7.821428571428571 -0.3214285714285712 7.821428571428571 -0.48809523809523725 13 17 13 18 17 19 18 20
NO 7 9 62 50 7.142857142857143 -0.14285714285714324 7.777777777777778 8.222222222222221 7.142857142857143 0.6349206349206344 65.25 46.75 6.678571428571429 0.3214285714285712 6.678571428571429 1.0992063492063489 2 18 4 13 1 16 1 13
TB 7 9 60.5 51.5 7.357142857142857 -0.35714285714285676 6.444444444444445 9.555555555555555 7.357142857142857 -0.9126984126984121 64 48 6.857142857142857 0.14285714285714324 6.857142857142857 -0.4126984126984121 6 19 6 20 3 18 3 19
TEN 6 10 60 52 7.428571428571429 -1.4285714285714288 6.444444444444445 9.555555555555555 7.428571428571429 -0.9841269841269842 62 50 7.142857142857143 -1.1428571428571432 7.142857142857143 -0.6984126984126986 8 20 8 21 4 20 4 21
MIA 7 9 53 59 8.428571428571429 -1.4285714285714288 6.888888888888888 9.11111111111111 8.428571428571429 -1.5396825396825404 53.75 58.25 8.321428571428571 -1.3214285714285712 8.321428571428571 -1.4325396825396828 26 21 23 22 22 21 22 22
SD 7 9 51 61 8.714285714285714 -1.7142857142857135 6.888888888888889 9.11111111111111 8.714285714285714 -1.8253968253968242 52 60 8.571428571428571 -1.5714285714285712 8.571428571428571 -1.682539682539682 27 22 27 23 26 22 26 23
CAR 7 9 51 61 8.714285714285714 -1.7142857142857135 8.88888888888889 7.111111111111111 8.714285714285714 0.17460317460317576 51.5 60.5 8.642857142857142 -1.6428571428571423 8.642857142857142 0.24603174603174693 28 23 28 17 27 23 27 17
NYJ 6 10 57 55 7.857142857142857 -1.8571428571428568 5.555555555555555 10.444444444444443 7.857142857142857 -2.3015873015873014 52 60 8.571428571428571 -2.571428571428571 8.571428571428571 -3.015873015873016 18 24 18 25 25 27 25 26
ARI 5 11 62 50 7.142857142857143 -2.1428571428571432 3.111111111111111 12.88888888888889 7.142857142857143 -4.031746031746032 59.625 52.375 7.482142857142857 -2.4821428571428568 7.482142857142857 -4.371031746031745 4 25 2 27 8 26 8 27
BUF 6 10 53 59 8.428571428571429 -2.428571428571429 5.333333333333333 10.666666666666668 8.428571428571429 -3.095238095238096 53.75 58.25 8.321428571428571 -2.321428571428571 8.321428571428571 -2.988095238095238 25 26 24 26 23 24 23 25
CLE 5 11 58 54 7.714285714285714 -2.7142857142857144 5.777777777777778 10.222222222222221 7.714285714285714 -1.9365079365079367 59.75 52.25 7.464285714285714 -2.4642857142857144 7.464285714285714 -1.6865079365079367 15 27 14 24 7 25 7 24
DET 4 12 59 53 7.571428571428571 -3.571428571428571 2.6666666666666665 13.333333333333332 7.571428571428571 -4.904761904761905 58.375 53.625 7.660714285714286 -3.6607142857142856 7.660714285714286 -4.994047619047619 12 28 11 28 12 28 12 29
PHI 4 12 57 55 7.857142857142857 -3.8571428571428568 2.444444444444444 13.555555555555555 7.857142857142857 -5.412698412698413 55.75 56.25 8.035714285714286 -4.0357142857142865 8.035714285714286 -5.591269841269842 17 29 17 30 20 29 20 31
JAC 2 14 63 49 7 -5 1.7777777777777777 14.222222222222221 7 -5.222222222222222 64.75 47.25 6.75 -4.75 6.75 -4.972222222222222 1 30 1 29 2 30 2 28
OAK 4 12 47 65 9.285714285714286 -5.2857142857142865 3.7777777777777777 12.222222222222221 9.285714285714286 -5.507936507936509 48.75 63.25 9.035714285714286 -5.0357142857142865 9.035714285714286 -5.257936507936509 29 31 29 31 29 31 29 30
KC 2 14 54 58 8.285714285714286 -6.2857142857142865 2 14 8.285714285714286 -6.2857142857142865 56.5 55.5 7.928571428571429 -5.928571428571429 7.928571428571429 -5.928571428571429 22 32 22 32 19 32 19 32
