Team hW hL hOW hOL hWW hWL hWOOW hWOOL aW aL aOW aOL aWW aWL aWOOW aWOOL
DEN 7 1 22 34 7.555555555555555 0.4444444444444444 22 34 6 2 31 25 7.333333333333333 0.6666666666666666 31 25
NE 6 2 27 29 6.222222222222222 1.7777777777777777 26 30 6 2 33 23 6.666666666666667 1.3333333333333333 31.75 24.25
SF 6.5 1.5 20 36 6.777777777777778 1.2222222222222223 19 37 5 3 40 16 4.444444444444445 3.5555555555555554 38.25 17.75
GB 7 1 21 35 7.777777777777778 0.2222222222222222 20.5 35.5 4 4 41 15 4.222222222222222 3.7777777777777777 38 18
ATL 7 1 25 31 6.222222222222222 1.7777777777777777 25.5 30.5 6 2 21 35 5.333333333333333 2.6666666666666665 19.5 36.5
HOU 6 2 20 36 5.555555555555555 2.4444444444444446 19 37 6 2 33 23 4.666666666666667 3.3333333333333335 31.75 24.25
SEA 8 0 29.5 26.5 8 0 30.75 25.25 3 5 28.5 27.5 4 4 26.5 29.5
MIN 7 1 23 33 6.888888888888889 1.1111111111111112 22 34 3 5 39 17 3.7777777777777777 4.222222222222222 38.75 17.25
CHI 5 3 26.5 29.5 3.5555555555555554 4.444444444444445 28.125 27.875 5 3 32.5 23.5 5.333333333333333 2.6666666666666665 31.875 24.125
WAS 5 3 29 27 6.444444444444445 1.5555555555555556 31 25 5 3 29 27 5.555555555555555 2.4444444444444446 26.5 29.5
BAL 6 2 28 28 5.111111111111111 2.888888888888889 29 27 4 4 26 30 3.7777777777777777 4.222222222222222 26.25 29.75
IND 7 1 20 36 7.555555555555555 0.4444444444444444 19.25 36.75 4 4 24 32 4.666666666666667 3.3333333333333335 22.75 33.25
NYG 6 2 24 32 6.666666666666667 1.3333333333333333 27 29 3 5 32.5 23.5 1.7777777777777777 6.222222222222222 31.5 24.5
CIN 4 4 20 36 4.444444444444445 3.5555555555555554 20.75 35.25 6 2 25 31 6.888888888888889 1.1111111111111112 24.5 31.5
DAL 4 4 22 34 4 4 22.75 33.25 4 4 37 19 4 4 36.75 19.25
PIT 5 3 23 33 4 4 22.75 33.25 3 5 33 23 3.5555555555555554 4.444444444444445 35.25 20.75
STL 4 4 26 30 2.888888888888889 5.111111111111111 26.75 29.25 3.5 4.5 33 23 4.444444444444445 3.5555555555555554 30.5 25.5
NO 4 4 27 29 4.222222222222222 3.7777777777777777 28.5 27.5 3 5 35 21 3.5555555555555554 4.444444444444445 36.75 19.25
TB 3 5 23.5 32.5 2 6 24.75 31.25 4 4 37 19 4.444444444444445 3.5555555555555554 39.25 16.75
TEN 4 4 26 30 4.444444444444445 3.5555555555555554 26.5 29.5 2 6 34 22 2 6 35.5 20.5
MIA 5 3 18.5 37.5 5.333333333333333 2.6666666666666665 19.625 36.375 2 6 34.5 21.5 1.5555555555555556 6.444444444444445 34.125 21.875
SD 3 5 25 31 2.888888888888889 5.111111111111111 26.5 29.5 4 4 26 30 4 4 25.5 30.5
CAR 3 5 25 31 3.5555555555555554 4.444444444444445 27.25 28.75 4 4 26 30 5.333333333333333 2.6666666666666665 24.25 31.75
NYJ 3 5 25 31 2.6666666666666665 5.333333333333333 21.5 34.5 3 5 32 24 2.888888888888889 5.111111111111111 30.5 25.5
ARI 4 4 20.5 35.5 2.888888888888889 5.111111111111111 20 36 1 7 41.5 14.5 0.2222222222222222 7.777777777777778 39.625 16.375
BUF 4 4 17.5 38.5 4 4 18.25 37.75 2 6 35.5 20.5 1.3333333333333333 6.666666666666667 35.5 20.5
CLE 4 4 23 33 4.444444444444445 3.5555555555555554 24.25 31.75 1 7 35 21 1.3333333333333333 6.666666666666667 35.5 20.5
DET 2 6 28.5 27.5 0.8888888888888888 7.111111111111111 29.875 26.125 2 6 30.5 25.5 1.7777777777777777 6.222222222222222 28.5 27.5
PHI 2 6 28 28 0.6666666666666666 7.333333333333333 27.25 28.75 2 6 29 27 1.7777777777777777 6.222222222222222 28.5 27.5
JAC 1 7 27 29 1.3333333333333333 6.666666666666667 28.25 27.75 1 7 36 20 0.4444444444444444 7.555555555555555 36.5 19.5
OAK 3 5 18 38 2.888888888888889 5.111111111111111 20 36 1 7 29 27 0.8888888888888888 7.111111111111111 28.75 27.25
KC 1 7 28 28 1.5555555555555556 6.444444444444445 31.75 24.25 1 7 26 30 0.4444444444444444 7.555555555555555 24.75 31.25
